iter	Passed	Remaining
0	133	133116
1	134	66903
2	136	45288
3	137	34351
4	139	27793
5	140	23257
6	141	20019
7	141	17606
8	142	15716
9	143	14218
10	144	12987
11	145	11952
12	146	11085
13	146	10339
14	151	9931
15	152	9390
16	221	12790
17	223	12178
18	224	11573
19	225	11026
20	225	10535
21	226	10085
22	227	9674
23	228	9311
24	230	8979
25	231	8680
26	233	8402
27	234	8125
28	235	7886
29	236	7644
30	247	7741
31	249	7534
32	250	7336
33	251	7141
34	252	6953
35	253	6778
36	253	6607
37	254	6446
38	255	6294
39	256	6149
40	257	6012
41	258	5896
42	259	5768
43	260	5656
44	261	5545
45	262	5436
46	263	5333
47	263	5233
48	264	5136
49	265	5043
50	266	4952
51	266	4866
52	267	4785
53	271	4752
54	272	4681
55	273	4609
56	274	4537
57	274	4465
58	275	4396
59	276	4329
60	276	4263
61	277	4199
62	278	4137
63	278	4078
64	279	4021
65	280	3965
66	281	3913
67	281	3861
68	285	3848
69	286	3801
70	287	3763
71	288	3718
72	289	3673
73	290	3629
74	290	3588
75	291	3547
76	292	3506
77	293	3466
78	294	3428
79	294	3389
80	295	3353
81	296	3316
82	301	3327
83	302	3298
84	303	3263
85	303	3229
86	304	3196
87	305	3163
88	305	3131
89	306	3101
90	307	3072
91	308	3042
92	309	3013
93	309	2984
94	310	2956
95	310	2927
96	314	2924
97	316	2912
98	317	2889
99	318	2864
100	318	2838
101	319	2813
102	320	2788
103	320	2764
104	321	2741
105	322	2717
106	322	2694
107	323	2672
108	324	2650
109	325	2629
110	328	2628
111	329	2610
112	330	2592
113	331	2573
114	331	2554
115	332	2536
116	333	2516
117	334	2503
118	335	2487
119	336	2471
120	337	2453
121	338	2435
122	339	2421
123	340	2407
124	342	2394
125	343	2381
126	344	2365
127	345	2351
128	346	2338
129	348	2330
130	349	2315
131	349	2301
132	350	2286
133	351	2271
134	354	2273
135	356	2263
136	357	2249
137	357	2234
138	358	2220
139	359	2206
140	359	2192
141	360	2176
142	361	2164
143	362	2151
144	362	2138
145	363	2125
146	364	2113
147	365	2101
148	365	2090
149	369	2092
150	370	2084
151	371	2072
152	372	2062
153	373	2050
154	374	2039
155	374	2027
156	375	2016
157	376	2004
158	376	1993
159	377	1981
160	377	1969
161	378	1958
162	379	1946
163	379	1935
164	380	1925
165	383	1925
166	384	1916
167	385	1907
168	385	1897
169	386	1887
170	387	1877
171	388	1867
172	388	1858
173	389	1848
174	390	1838
175	390	1829
176	391	1819
177	391	1810
178	392	1800
179	393	1791
180	394	1784
181	396	1783
182	397	1776
183	398	1769
184	399	1761
185	400	1754
186	401	1746
187	402	1738
188	403	1732
189	404	1724
190	405	1716
191	405	1707
192	406	1699
193	407	1693
194	408	1686
195	409	1680
196	411	1676
197	412	1671
198	413	1666
199	414	1659
200	415	1653
201	416	1646
202	417	1639
203	418	1632
204	419	1625
205	419	1618
206	420	1611
207	421	1605
208	422	1598
209	423	1592
210	424	1587
211	425	1583
212	427	1578
213	427	1571
214	428	1565
215	429	1558
216	430	1552
217	430	1545
218	431	1538
219	432	1532
220	432	1526
221	433	1519
222	434	1513
223	435	1506
224	435	1500
225	436	1494
226	437	1488
227	438	1483
228	439	1479
229	440	1473
230	441	1469
231	442	1464
232	443	1458
233	443	1452
234	444	1446
235	445	1440
236	445	1435
237	446	1429
238	447	1423
239	447	1417
240	448	1412
241	449	1406
242	449	1401
243	450	1396
244	451	1392
245	452	1388
246	454	1384
247	454	1379
248	455	1374
249	456	1369
250	457	1364
251	458	1359
252	458	1354
253	459	1349
254	460	1344
255	461	1339
256	462	1336
257	463	1331
258	463	1327
259	464	1323
260	467	1322
261	468	1319
262	469	1315
263	470	1311
264	471	1308
265	472	1303
266	473	1299
267	474	1294
268	474	1290
269	475	1286
270	476	1282
271	477	1278
272	479	1276
273	480	1272
274	481	1268
275	481	1263
276	482	1259
277	483	1256
278	484	1253
279	485	1249
280	486	1245
281	488	1243
282	489	1239
283	490	1235
284	492	1235
285	493	1232
286	494	1228
287	495	1225
288	497	1223
289	498	1219
290	499	1216
291	500	1213
292	501	1209
293	502	1205
294	502	1201
295	503	1198
296	505	1195
297	506	1192
298	507	1189
299	508	1187
300	509	1183
301	510	1180
302	511	1177
303	512	1173
304	513	1169
305	514	1165
306	514	1162
307	515	1158
308	516	1154
309	517	1151
310	518	1148
311	519	1145
312	520	1142
313	521	1139
314	522	1135
315	522	1131
316	523	1128
317	524	1124
318	525	1120
319	525	1117
320	526	1113
321	527	1110
322	527	1106
323	528	1102
324	529	1099
325	529	1095
326	530	1091
327	531	1088
328	532	1086
329	533	1083
330	534	1080
331	535	1077
332	536	1073
333	536	1070
334	537	1067
335	538	1064
336	539	1060
337	539	1057
338	540	1054
339	541	1050
340	541	1047
341	542	1043
342	543	1040
343	543	1036
344	544	1033
345	544	1029
346	545	1026
347	546	1024
348	547	1021
349	548	1019
350	549	1016
351	550	1013
352	551	1010
353	551	1006
354	552	1003
355	553	1000
356	553	997
357	554	994
358	555	991
359	556	988
360	556	985
361	557	982
362	558	980
363	559	977
364	560	974
365	561	972
366	562	970
367	563	968
368	564	965
369	565	962
370	566	959
371	566	956
372	567	954
373	568	951
374	568	948
375	569	945
376	570	942
377	571	939
378	571	937
379	572	934
380	573	932
381	575	930
382	576	928
383	577	926
384	578	923
385	578	920
386	579	918
387	580	915
388	581	912
389	582	910
390	582	907
391	583	905
392	584	902
393	584	899
394	585	896
395	586	894
396	587	891
397	587	889
398	590	890
399	592	888
400	593	885
401	593	883
402	594	880
403	595	878
404	595	875
405	596	872
406	597	870
407	597	867
408	598	864
409	599	862
410	600	860
411	600	857
412	601	855
413	602	852
414	603	850
415	604	849
416	606	847
417	607	845
418	607	842
419	608	840
420	609	837
421	609	835
422	610	832
423	611	830
424	611	827
425	612	825
426	613	822
427	614	820
428	614	818
429	615	816
430	616	813
431	617	812
432	619	810
433	619	808
434	620	806
435	621	803
436	622	801
437	622	799
438	623	796
439	624	794
440	625	792
441	625	789
442	626	787
443	627	785
444	627	782
445	628	780
446	629	778
447	629	776
448	630	773
449	631	772
450	633	771
451	634	769
452	635	767
453	635	764
454	636	762
455	637	760
456	637	758
457	638	755
458	639	753
459	639	751
460	641	749
461	641	747
462	642	745
463	643	742
464	643	740
465	644	738
466	645	737
467	647	735
468	647	733
469	649	732
470	650	730
471	650	727
472	651	725
473	652	723
474	652	721
475	653	719
476	654	717
477	655	715
478	656	713
479	657	711
480	658	710
481	659	708
482	661	707
483	662	706
484	663	704
485	663	702
486	664	700
487	665	698
488	666	696
489	666	694
490	667	692
491	668	689
492	668	687
493	669	685
494	670	683
495	670	681
496	671	679
497	673	678
498	675	677
499	676	676
500	677	674
501	677	672
502	678	670
503	679	668
504	680	666
505	681	665
506	682	663
507	683	661
508	683	659
509	684	657
510	685	655
511	685	653
512	687	652
513	688	651
514	689	649
515	690	647
516	691	645
517	692	644
518	692	642
519	693	640
520	694	638
521	694	636
522	695	634
523	696	632
524	697	630
525	698	629
526	698	627
527	700	625
528	701	624
529	702	622
530	702	620
531	703	618
532	704	616
533	704	615
534	705	613
535	706	611
536	707	609
537	707	607
538	708	605
539	709	603
540	709	602
541	710	600
542	711	598
543	711	596
544	712	595
545	713	593
546	716	593
547	717	591
548	718	590
549	719	588
550	719	586
551	720	584
552	721	582
553	721	581
554	722	579
555	722	577
556	723	575
557	724	573
558	724	571
559	725	569
560	725	568
561	726	566
562	726	564
563	728	563
564	730	562
565	731	560
566	731	558
567	732	557
568	733	555
569	733	553
570	734	551
571	735	550
572	736	548
573	736	546
574	737	545
575	738	543
576	738	541
577	739	539
578	740	538
579	740	536
580	741	534
581	742	533
582	744	532
583	745	531
584	746	529
585	746	527
586	747	525
587	747	524
588	748	522
589	749	520
590	749	519
591	750	517
592	751	515
593	751	513
594	752	512
595	753	510
596	753	508
597	754	507
598	754	505
599	755	503
600	756	502
601	757	500
602	758	499
603	759	497
604	759	496
605	760	494
606	761	492
607	761	491
608	762	489
609	763	487
610	763	486
611	764	484
612	765	483
613	766	481
614	766	479
615	767	478
616	767	476
617	768	475
618	769	473
619	769	471
620	771	470
621	773	469
622	774	468
623	775	467
624	775	465
625	776	463
626	776	462
627	777	460
628	778	458
629	778	457
630	779	455
631	779	454
632	780	452
633	781	450
634	781	449
635	782	447
636	782	446
637	783	444
638	784	443
639	785	441
640	786	440
641	786	438
642	787	437
643	788	435
644	788	434
645	789	432
646	790	431
647	790	429
648	791	428
649	792	426
650	792	424
651	793	423
652	794	421
653	794	420
654	795	419
655	796	417
656	796	416
657	797	414
658	798	413
659	800	412
660	801	411
661	802	409
662	803	408
663	803	406
664	804	405
665	805	403
666	805	402
